year,country,total_grapevine_area_ha,total_winegrape_area_ha,grape_yield_tonnes_per_ha,total_grape_production_kt
2000,Algeria,51000.0,30200.0,3.8,193.0
2000,Argentina,201000.0,197400.0,12.2,2461.0
2000,Armenia,15000.0,11200.0,7.9,116.0
2000,Australia,137000.0,130600.0,10.0,1374.0
2000,Austria,48000.0,48500.0,6.9,332.0
2000,Brazil,61000.0,52800.0,16.5,1005.0
2000,Bulgaria,117000.0,96000.0,3.6,419.0
2000,Canada,8000.0,8500.0,8.1,69.0
2000,Chile,160000.0,114000.0,11.0,1758.0
2000,Croatia,59000.0,59400.0,6.2,369.0
2000,Cyprus,18000.0,18300.0,5.6,103.0
2000,Czechia,12000.0,11300.0,5.8,67.0
2000,France,865000.0,864800.0,8.9,7676.0
2000,Georgia,62000.0,37400.0,3.1,193.0
2000,Germany,104000.0,104200.0,13.6,1415.0
2000,Greece,126000.0,50900.0,9.8,1242.0
2000,Hungary,90000.0,86900.0,7.7,688.0
2000,Israel,7000.0,4900.0,14.6,102.0
2000,Italy,870000.0,636700.0,10.4,9073.0
2000,"Korea, Rep.",29000.0,5400.0,5.6,163.0
2000,Luxembourg,1000.0,1300.0,9.2,12.0
2000,Moldova,146000.0,89800.0,3.8,558.0
2000,Morocco,50000.0,49600.0,5.6,277.0
2000,New Zealand,10000.0,9900.0,7.5,77.0
2000,Portugal,235000.0,205000.0,4.3,1014.0
2000,Romania,248000.0,222200.0,4.8,1178.0
2000,Russia,61000.0,56300.0,4.2,254.0
2000,Serbia,69000.0,69000.0,0.5,34.0
2000,Slovakia,18000.0,15600.0,3.7,65.0
2000,Slovenia,23000.0,23500.0,4.7,111.0
2000,South Africa,108000.0,93700.0,13.4,1446.0
2000,Spain,1182000.0,1181800.0,4.9,5806.0
2000,Switzerland,15000.0,15000.0,10.8,163.0
2000,Taiwan,,,,
2000,Tunisia,28000.0,16800.0,4.9,139.0
2000,United Kingdom,1000.0,900.0,1.6,1.0
2000,United States,376000.0,175700.0,16.5,6197.0
2000,Uruguay,9000.0,8900.0,13.3,122.0
2010,Algeria,70000.0,30200.0,6.9,485.0
2010,Argentina,223000.0,213400.0,11.3,2516.0
2010,Armenia,14000.0,11200.0,15.2,220.0
2010,Australia,158000.0,151800.0,11.0,1732.0
2010,Austria,46000.0,45500.0,6.7,307.0
2010,Brazil,82000.0,49400.0,17.2,1421.0
2010,Bulgaria,88000.0,56100.0,2.9,252.0
2010,Canada,11000.0,10100.0,6.7,72.0
2010,Chile,200000.0,111500.0,14.4,2884.0
2010,China,547000.0,29500.0,15.6,8519.0
2010,Croatia,33000.0,20800.0,6.2,206.0
2010,Cyprus,9000.0,8600.0,3.2,28.0
2010,Czechia,16000.0,16200.0,4.2,69.0
2010,Ethiopia,2000.0,200.0,2.9,5.0
2010,France,847000.0,835600.0,7.3,6162.0
2010,Georgia,49000.0,48000.0,2.9,143.0
2010,Germany,102000.0,102100.0,11.2,1146.0
2010,Greece,100000.0,54400.0,9.4,938.0
2010,Hungary,75000.0,69700.0,5.7,432.0
2010,Israel,6000.0,4900.0,16.6,95.0
2010,Italy,768000.0,625700.0,10.0,7715.0
2010,Japan,18000.0,3700.0,10.3,187.0
2010,Kazakhstan,10000.0,6900.0,5.8,56.0
2010,"Korea, Rep.",18000.0,5400.0,17.4,306.0
2010,Luxembourg,1000.0,1300.0,12.9,17.0
2010,Mexico,27000.0,5500.0,10.8,288.0
2010,Moldova,132000.0,89800.0,4.4,587.0
2010,Morocco,49000.0,49000.0,7.2,355.0
2010,Myanmar,,,,
2010,New Zealand,33000.0,32000.0,7.3,238.0
2010,Peru,15000.0,3800.0,18.5,281.0
2010,Portugal,180000.0,163500.0,4.6,826.0
2010,Romania,179000.0,170300.0,4.9,870.0
2010,Russia,43000.0,25600.0,8.0,345.0
2010,Serbia,69000.0,69000.0,5.2,362.0
2010,Slovakia,13000.0,12600.0,3.0,37.0
2010,Slovenia,16000.0,16400.0,7.0,114.0
2010,South Africa,113000.0,101000.0,11.5,1305.0
2010,Spain,1028000.0,1028300.0,5.7,5817.0
2010,Switzerland,15000.0,14800.0,9.0,134.0
2010,Taiwan,,,,
2010,Thailand,4000.0,100.0,17.5,77.0
2010,Tunisia,29000.0,16800.0,3.5,103.0
2010,Turkey,476000.0,12900.0,9.0,4272.0
