country,avg_production_hl,avg_consumption_hl,latest_production_hl,latest_consumption_hl,n_years,latest_year,world
Afghanistan,0.0,1400.0,0.0,1000.0,30,2024,
Albania,171233.33333333334,197000.0,223000.0,262000.0,30,2024,
Algeria,420266.6666666667,277800.0,180000.0,276000.0,30,2024,Old World
American Samoa,0.0,133.33333333333334,0.0,0.0,30,2024,
Andorra,0.0,,0.0,,28,2022,
Angola,0.0,636966.6666666666,0.0,304000.0,30,2024,
Antigua and Barbuda,0.0,10733.333333333334,0.0,17000.0,30,2024,
Argentina,13369419.35483871,10468483.870967742,10772000.0,7460000.0,31,2025,New World
Armenia,73900.0,60533.333333333336,127000.0,95000.0,30,2024,Old World
Aruba,0.0,,0.0,,28,2022,
Australia,11141580.64516129,4825548.387096774,11340000.0,5287000.0,31,2025,New World
Austria,2396612.9032258065,2435709.6774193547,2532000.0,2375000.0,31,2025,Old World
Azerbaijan,93466.66666666667,51700.0,101000.0,71000.0,30,2024,
Bahamas,0.0,27700.0,0.0,39000.0,30,2024,
Bahrain,0.0,15000.0,0.0,15000.0,30,2024,
Bangladesh,0.0,1033.3333333333333,0.0,1000.0,30,2024,
Barbados,0.0,19066.666666666668,0.0,25000.0,30,2024,
Belarus,221433.33333333334,621516.1290322581,304000.0,837000.0,31,2025,
Belgium,8032.258064516129,2602884.6153846155,21000.0,1592000.0,31,2025,
Belgium and Luxemburg,0.0,2239000.0,0.0,2364000.0,28,2022,
Belize,0.0,7100.0,0.0,13000.0,30,2024,
Benin,0.0,34166.666666666664,0.0,22000.0,30,2024,
Bermuda,0.0,17033.333333333332,0.0,15000.0,30,2024,
Bhutan,0.0,,0.0,,28,2022,
Bolivia,61322.58064516129,63666.666666666664,82000.0,88000.0,31,2025,
Bosnia and Herzegovina,53133.333333333336,101333.33333333333,67000.0,116000.0,30,2024,
Botswana,0.0,52566.666666666664,0.0,54000.0,30,2024,
Brazil,2842870.9677419355,3301258.064516129,2826000.0,4405000.0,31,2025,New World
Brunei Darussalam,0.0,100.0,0.0,0.0,30,2024,
Bulgaria,1602387.0967741935,818064.5161290322,639000.0,701000.0,31,2025,Old World
Burkina Faso,0.0,45766.666666666664,0.0,112000.0,30,2024,
Burundi,0.0,2200.0,0.0,4000.0,30,2024,
Cabo Verde,0.0,45300.0,0.0,55000.0,30,2024,
Cambodia,0.0,9200.0,0.0,11000.0,30,2024,New World
Cameroon,0.0,79833.33333333333,0.0,97000.0,30,2024,
Canada,539000.0,3755612.9032258065,645000.0,2833000.0,31,2025,New World
Cayman Islands,0.0,,0.0,,28,2022,
Central African Republic,0.0,5466.666666666667,0.0,4000.0,30,2024,
Chad,0.0,5966.666666666667,0.0,2000.0,30,2024,
Chile,8798193.548387097,2490387.0967741935,8386000.0,1560000.0,31,2025,New World
"China, Hong Kong SAR",0.0,213800.0,0.0,304000.0,30,2024,
"China, Macao SAR",0.0,32000.0,0.0,38000.0,30,2024,
"China, Taiwan Province of",0.0,158200.0,0.0,212000.0,30,2024,
Colombia,49000.0,138300.0,25000.0,244000.0,31,2025,
Comoros,0.0,1800.0,0.0,3000.0,30,2024,
Congo,0.0,33300.0,0.0,21000.0,30,2024,
Congo (the Democratic Republic of the),0.0,22633.333333333332,0.0,34000.0,30,2024,
Cook Islands,0.0,1533.3333333333333,0.0,2000.0,30,2024,
Costa Rica,0.0,75833.33333333333,0.0,118000.0,30,2024,
Croatia,1303096.7741935484,1416451.6129032257,699000.0,937000.0,31,2025,Old World
Cuba,103612.90322580645,144966.66666666666,132000.0,162000.0,31,2025,
Cyprus,233677.4193548387,140354.83870967742,60000.0,123000.0,31,2025,Old World
Czech Republic,566032.2580645161,1598483.8709677418,634000.0,2037000.0,31,2025,
Côte d'Ivoire,0.0,307800.0,0.0,470000.0,30,2024,
Denmark,1333.3333333333333,1551935.4838709678,1000.0,1392000.0,31,2025,
Djibouti,0.0,2533.3333333333335,0.0,2000.0,30,2024,
Dominica,0.0,2233.3333333333335,0.0,1000.0,30,2024,
Dominican Republic,0.0,82733.33333333333,0.0,118000.0,30,2024,
Ecuador,0.0,63966.666666666664,0.0,110000.0,30,2024,
Egypt,54666.666666666664,53766.666666666664,52000.0,52000.0,30,2024,
El Salvador,0.0,18133.333333333332,0.0,25000.0,30,2024,
Equatorial Guinea,0.0,,0.0,,28,2022,
Eritrea,0.0,,0.0,,28,2022,
Estonia,967.741935483871,132451.61290322582,10000.0,182000.0,31,2025,
Eswatini,0.0,17966.666666666668,0.0,13000.0,30,2024,
Ethiopia,13700.0,18466.666666666668,4000.0,8000.0,30,2024,New World
Faroe Islands,0.0,3600.0,0.0,5000.0,30,2024,
Fiji,0.0,11466.666666666666,0.0,13000.0,30,2024,
Finland,0.0,493870.96774193546,0.0,523000.0,31,2025,
France,47683000.0,29824935.48387097,36079000.0,21965000.0,31,2025,Old World
French Guiana,0.0,8700.0,0.0,2000.0,30,2024,
French Polynesia,0.0,32833.333333333336,0.0,26000.0,30,2024,
Gabon,0.0,77500.0,0.0,54000.0,30,2024,
Gambia,0.0,750.0,0.0,0.0,30,2024,
Georgia,1431612.9032258065,1074709.677419355,2562000.0,1587000.0,31,2025,Old World
Germany,9003451.612903226,19732903.225806452,7550000.0,17800000.0,31,2025,Old World
Ghana,0.0,68466.66666666667,0.0,69000.0,30,2024,
Global,265832935.48387095,234420354.83870968,226706000.0,208000000.0,31,2025,
Greece,3049483.870967742,2654225.806451613,1618000.0,1488000.0,31,2025,Old World
Greenland,0.0,5533.333333333333,0.0,6000.0,30,2024,
Grenada,0.0,33000.0,0.0,54000.0,30,2024,
Guadeloupe,0.0,23000.0,0.0,0.0,30,2024,
Guam,0.0,400.0,0.0,0.0,30,2024,
Guinea,0.0,7000.0,0.0,9000.0,30,2024,
Guinea-Bissau,0.0,60400.0,0.0,103000.0,30,2024,
Guyana,0.0,766.6666666666666,0.0,3000.0,30,2024,
Haiti,0.0,9200.0,0.0,18000.0,30,2024,
Honduras,0.0,13900.0,0.0,20000.0,30,2024,
Hungary,3399451.6129032257,2610774.193548387,2957000.0,1710000.0,31,2025,Old World
Iceland,,36433.333333333336,,49000.0,30,2024,
India,107933.33333333333,123233.33333333333,181000.0,226000.0,30,2024,New World
Indonesia,0.0,10266.666666666666,0.0,32000.0,30,2024,
Iran,0.0,66.66666666666667,0.0,0.0,30,2024,
Iraq,0.0,3900.0,0.0,9000.0,30,2024,
Ireland,0.0,641903.2258064516,0.0,815000.0,31,2025,
Israel,257566.66666666666,278733.3333333333,400000.0,486000.0,30,2024,Old World
Italy,48754677.41935484,25907406.25,44384000.0,20195000.0,32,2025,Old World
Jamaica,0.0,25400.0,0.0,46000.0,30,2024,
Japan,878322.5806451613,2975419.35483871,856000.0,3298000.0,31,2025,New World
Jordan,0.0,1833.3333333333333,0.0,3000.0,30,2024,
Kazakhstan,240300.0,328033.3333333333,381000.0,484000.0,30,2024,Old World
Kenya,0.0,45166.666666666664,0.0,77000.0,30,2024,
Kiribati,0.0,33.333333333333336,0.0,0.0,30,2024,
