country,year,variety,variety_area_ha,grape_color,grape_yield_tonnes_per_ha,estimated_variety_production_tons
Albania,2022,Debine e Bardhë,71.0,white,,
Albania,2022,Kadarka,111.0,red,,
Albania,2022,Merlot,735.0,red,,
Albania,2022,Pules,150.0,white,,
Albania,2022,Serina e Zezë,150.0,red,,
Albania,2022,Shesh i Bardhë,1352.0,white,,
Albania,2022,Shesh i Zi,2720.0,red,,
Albania,2022,Vlosh,33.0,red,,
Albania,2022,other,3078.0,unknown,,
Algeria,2000,Alicante Henri Bouschet,3020.0,red,3.8,11476.0
Algeria,2000,Cabernet Sauvignon,1510.0,red,3.8,5738.0
Algeria,2000,Cinsaut,7550.0,red,3.8,28690.0
Algeria,2000,Garnacha Tinta,6040.0,red,3.8,22952.0
Algeria,2000,Mazuelo,7550.0,red,3.8,28690.0
Algeria,2000,Merlot,1510.0,red,3.8,5738.0
Algeria,2000,Pinot Noir,1510.0,red,3.8,5738.0
Algeria,2000,Syrah,1510.0,red,3.8,5738.0
Algeria,2010,Alicante Henri Bouschet,3020.0,red,6.9,20838.0
Algeria,2010,Cabernet Sauvignon,1510.0,red,6.9,10419.0
Algeria,2010,Cinsaut,7550.0,red,6.9,52095.0
Algeria,2010,Garnacha Tinta,6040.0,red,6.9,41676.0
Algeria,2010,Mazuelo,7550.0,red,6.9,52095.0
Algeria,2010,Merlot,1510.0,red,6.9,10419.0
Algeria,2010,Pinot Noir,1510.0,red,6.9,10419.0
Algeria,2010,Syrah,1510.0,red,6.9,10419.0
Algeria,2016,Cabernet Sauvignon,1000.0,red,8.2,8200.0
Algeria,2016,Garnacha Tinta,2000.0,red,8.2,16400.0
Algeria,2016,Mazuelo,3000.0,red,8.2,24599.999999999996
Algeria,2016,Merlot,1000.0,red,8.2,8200.0
Algeria,2016,Muscat of Alexandria,200.0,white,8.2,1639.9999999999998
Algeria,2016,Sultaniye,100.0,white,8.2,819.9999999999999
Algeria,2016,Syrah,1000.0,red,8.2,8200.0
Algeria,2022,Cabernet Sauvignon,280.0,red,,
Algeria,2022,Garnacha Tinta,560.0,red,,
Algeria,2022,Mazuelo,840.0,red,,
Algeria,2022,Merlot,280.0,red,,
Algeria,2022,Muscat of Alexandria,56.0,white,,
Algeria,2022,Sultaniye,28.0,white,,
Algeria,2022,Syrah,280.0,red,,
Argentina,2000,Aglianico,81.5644,red,12.2,995.08568
Argentina,2000,Alicante Henri Bouschet,113.4495,red,12.2,1384.0838999999999
Argentina,2000,Ancellotta,13.4424,red,12.2,163.99728
Argentina,2000,Arinarnoa,0.95,red,12.2,11.589999999999998
Argentina,2000,Aspiran Bouschet,432.44259999999997,red,12.2,5275.799719999999
Argentina,2000,Barbera,1054.8559,red,12.2,12869.241979999999
Argentina,2000,Bombino Bianco,10.122,white,12.2,123.48839999999998
Argentina,2000,Bonamico,253.4047,red,12.2,3091.53734
Argentina,2000,Bourboulenc,0.09,white,12.2,1.0979999999999999
Argentina,2000,Béquignol Noir,1081.9328,red,12.2,13199.58016
Argentina,2000,Caberinta,85.3437,red,12.2,1041.1931399999999
Argentina,2000,Cabernet Franc,251.7168,red,12.2,3070.94496
Argentina,2000,Cabernet Sauvignon,13776.322400000001,red,12.2,168071.13328
Argentina,2000,Caladoc,0.67,red,12.2,8.174
Argentina,2000,Canari Noir,218.1767,red,12.2,2661.75574
Argentina,2000,Canela,0.1866,grey_or_gris,12.2,2.2765199999999997
Argentina,2000,Canelon,8.0,red,12.2,97.6
Argentina,2000,Cardinal,679.8978,red,12.2,8294.753159999998
Argentina,2000,Cereza,31113.353,grey_or_gris,12.2,379582.9066
Argentina,2000,Chardonnay,4681.784,white,12.2,57117.76479999999
Argentina,2000,Chenin Blanc,3444.9814,white,12.2,42028.77308
Argentina,2000,Cinsaut,5.9485,red,12.2,72.57169999999999
Argentina,2000,Corvina Veronese,19.150000000000002,red,12.2,233.63000000000002
Argentina,2000,Criolla Grande,24264.0687,red,12.2,296021.63814
Argentina,2000,Criolla Mediana,1.49,red,12.2,18.177999999999997
Argentina,2000,Côt,18229.5515,red,12.2,222400.5283
Argentina,2000,Damaschino,826.5081,white,12.2,10083.39882
Argentina,2000,Dawn Seedless,14.6,white,12.2,178.11999999999998
Argentina,2000,Dolcetto,5.7948,red,12.2,70.69656
Argentina,2000,Douce Noire,15659.2701,red,12.2,191043.09522
Argentina,2000,Fer,347.9329,red,12.2,4244.78138
Argentina,2000,Ferral,48.4565,red,12.2,591.1692999999999
Argentina,2000,Fintendo,144.07070000000002,red,12.2,1757.66254
Argentina,2000,Flame Seedless,515.5386,red,12.2,6289.570919999999
Argentina,2000,Freisa,13.994399999999999,red,12.2,170.73167999999998
Argentina,2000,Gamay Noir,1.8375,red,12.2,22.417499999999997
Argentina,2000,Garganega,4.2675,white,12.2,52.0635
Argentina,2000,Gargiulo 14260,1.0,red,12.2,12.2
Argentina,2000,Gargiulo 2539,69.0009,red,12.2,841.81098
Argentina,2000,Gargiulo 26189,5.82,red,12.2,71.004
Argentina,2000,Gargiulo 26879,4.15,white,12.2,50.63
Argentina,2000,Gargiulo 4113,7.2339,red,12.2,88.25358
Argentina,2000,Gargiulo 45803,3.839,white,12.2,46.8358
Argentina,2000,Garnacha Tinta,8.705,red,12.2,106.201
Argentina,2000,Gibi,1226.6831,white,12.2,14965.533819999999
Argentina,2000,Graciano,50.093,red,12.2,611.1346
Argentina,2000,Grand Noir,4.13,red,12.2,50.385999999999996
Argentina,2000,Greco Nero,513.2409,red,12.2,6261.538979999999
Argentina,2000,Isabella,74.1798,red,12.2,904.99356
Argentina,2000,Italia,256.8802,white,12.2,3133.93844
Argentina,2000,Joubertin,1.439,red,12.2,17.5558
Argentina,2000,Lambrusco Maestri,151.0015,red,12.2,1842.2182999999998
Argentina,2000,Listán Prieto,1057.3153,red,12.2,12899.246659999999
Argentina,2000,Macabeo,3.3,white,12.2,40.26
Argentina,2000,Malvasia,60.5233,white,12.2,738.3842599999999
Argentina,2000,Marsanne,0.09,white,12.2,1.0979999999999999
Argentina,2000,Maticha,353.93559999999997,white,12.2,4318.014319999999
Argentina,2000,Mazuelo,56.9055,red,12.2,694.2471
Argentina,2000,Merlot,6263.2421,red,12.2,76411.55362
Argentina,2000,Michele Palieri,21.94,red,12.2,267.668
Argentina,2000,Molinara,2.38,red,12.2,29.035999999999998
Argentina,2000,Monastrell,0.32,red,12.2,3.904
Argentina,2000,Montepulciano,49.0677,red,12.2,598.62594
Argentina,2000,Moscato Giallo,196.99099999999999,white,12.2,2403.2901999999995
Argentina,2000,Muscat Blanc à Petits Grains,149.2917,white,12.2,1821.35874
Argentina,2000,Muscat Blanc à Petits Grains (G),10442.3673,white,12.2,127396.88105999999
Argentina,2000,Muscat of Alexandria,5515.2291000000005,white,12.2,67285.79502
Argentina,2000,Muscat of Hamburg,2.0843,red,12.2,25.428459999999998
Argentina,2000,Nebbiolo,217.7765,red,12.2,2656.8732999999997
Argentina,2000,Nero d'Avola,5.106999999999999,red,12.2,62.305399999999985
Argentina,2000,Palomino Fino,215.8374,white,12.2,2633.21628
Argentina,2000,Patagonia,29.148,white,12.2,355.6056
Argentina,2000,Patrizia Rosa,10.45,grey_or_gris,12.2,127.48999999999998
Argentina,2000,Pedro Giménez,14862.025599999999,white,12.2,181316.71232
Argentina,2000,Perlette,13.6834,white,12.2,166.93748
Argentina,2000,Petit Verdot,158.97490000000002,red,12.2,1939.49378
Argentina,2000,Pinot Blanc,39.8371,white,12.2,486.01261999999997
Argentina,2000,Pinot Gris,13.0443,grey_or_gris,12.2,159.14046
Argentina,2000,Pinot Meunier,10.68,red,12.2,130.296
Argentina,2000,Pinot Noir,1113.9097,red,12.2,13589.698339999999
Argentina,2000,Prosecco,9.427999999999999,white,12.2,115.02159999999998
Argentina,2000,Raboso Piave,63.922399999999996,red,12.2,779.8532799999999
Argentina,2000,Red Globe,1940.2082,red,12.2,23670.54004
Argentina,2000,Rieslina,218.9687,white,12.2,2671.41814
Argentina,2000,Riesling,150.4727,white,12.2,1835.76694
Argentina,2000,Ruby Cabernet,1.8,red,12.2,21.96
Argentina,2000,Ruby Seedless,24.5,red,12.2,298.9
Argentina,2000,Saint Jeannet,67.9536,white,12.2,829.0339199999999
Argentina,2000,Sangiovese,2490.4047,red,12.2,30382.93734
Argentina,2000,Sauvignon Blanc,864.7129,white,12.2,10549.497379999999
Argentina,2000,Sauvignon Blanc (G),5.52,white,12.2,67.344
Argentina,2000,Sauvignonasse,756.1866,white,12.2,9225.47652
Argentina,2000,Savagnin Blanc,11.41,white,12.2,139.202
Argentina,2000,Serna,18.6191,grey_or_gris,12.2,227.15301999999997
Argentina,2000,Silvaner,3.3609,white,12.2,41.00298
Argentina,2000,Syrah,8888.1915,red,12.2,108435.9363
Argentina,2000,Sémillon,1032.9946,white,12.2,12602.534119999998
Argentina,2000,Tannat,174.3528,red,12.2,2127.10416
Argentina,2000,Tempranillo,4719.8824,red,12.2,57582.56528
Argentina,2000,Torrontes Mendocino,779.9365,white,12.2,9515.2253
Argentina,2000,Torrontés Riojano,8126.6567,white,12.2,99145.21173999998
Argentina,2000,Torrontés Sanjuanino,3169.5538,white,12.2,38668.55636
Argentina,2000,Trebbiano Toscano,2764.5223,white,12.2,33727.17206
Argentina,2000,Tribidrag,6.18,red,12.2,75.39599999999999
Argentina,2000,Trousseau,75.2903,red,12.2,918.54166
Argentina,2000,Verdelho,4.0,white,12.2,48.8
Argentina,2000,Verduzzo Friulano,5.5544,white,12.2,67.76368
Argentina,2000,Vermentino,2.5293,white,12.2,30.85746
Argentina,2000,Victoria,145.48590000000002,white,12.2,1774.9279800000002
Argentina,2000,Viognier,151.3055,white,12.2,1845.9270999999999
Argentina,2000,other red,66.5668,red,12.2,812.11496
Argentina,2000,other white,29.6683,white,12.2,361.95325999999994
Argentina,2010,Aglianico,84.35610000000001,red,11.3,953.2239300000002
Argentina,2010,Alicante Henri Bouschet,257.2152,red,11.3,2906.53176
Argentina,2010,Alvarinho,1.95,white,11.3,22.035
Argentina,2010,Ancellotta,208.96189999999999,red,11.3,2361.26947
Argentina,2010,Arinarnoa,0.95,red,11.3,10.735
Argentina,2010,Aspiran Bouschet,2244.8736,red,11.3,25367.07168
Argentina,2010,Barbera,733.3788,red,11.3,8287.18044
Argentina,2010,Bombino Bianco,10.122,white,11.3,114.3786
Argentina,2010,Bonamico,206.3675,red,11.3,2331.9527500000004
Argentina,2010,Bourboulenc,3.5365,white,11.3,39.962450000000004
Argentina,2010,Béquignol Noir,890.1111,red,11.3,10058.255430000001
Argentina,2010,Caberinta,68.796,red,11.3,777.3948000000001
Argentina,2010,Cabernet Franc,592.205,red,11.3,6691.916500000001
Argentina,2010,Cabernet Sauvignon,17674.0321,red,11.3,199716.56273
Argentina,2010,Caladoc,13.5892,red,11.3,153.55796
Argentina,2010,Canari Noir,149.8523,red,11.3,1693.3309900000002
Argentina,2010,Canela,1.3083,grey_or_gris,11.3,14.783790000000002
Argentina,2010,Canelon,8.0,red,11.3,90.4
Argentina,2010,Carmenère,33.1154,red,11.3,374.20402
Argentina,2010,Cereza,29934.1788,grey_or_gris,11.3,338256.22044000006
