country,year,variety,grape_color,variety_area_ha,grape_yield_tonnes_per_ha,estimated_variety_production_tons,world
Albania,2022,Debine e Bardhë,white,71.0,,,
Albania,2022,Kadarka,red,111.0,,,
Albania,2022,Merlot,red,735.0,,,
Albania,2022,Pules,white,150.0,,,
Albania,2022,Serina e Zezë,red,150.0,,,
Albania,2022,Shesh i Bardhë,white,1352.0,,,
Albania,2022,Shesh i Zi,red,2720.0,,,
Albania,2022,Vlosh,red,33.0,,,
Albania,2022,other,unknown,3078.0,,,
Algeria,2000,Alicante Henri Bouschet,red,3020.0,3.8,11476.0,Old World
Algeria,2000,Cabernet Sauvignon,red,1510.0,3.8,5738.0,Old World
Algeria,2000,Cinsaut,red,7550.0,3.8,28690.0,Old World
Algeria,2000,Garnacha Tinta,red,6040.0,3.8,22952.0,Old World
Algeria,2000,Mazuelo,red,7550.0,3.8,28690.0,Old World
Algeria,2000,Merlot,red,1510.0,3.8,5738.0,Old World
Algeria,2000,Pinot Noir,red,1510.0,3.8,5738.0,Old World
Algeria,2000,Syrah,red,1510.0,3.8,5738.0,Old World
Algeria,2010,Alicante Henri Bouschet,red,3020.0,6.9,20838.0,Old World
Algeria,2010,Cabernet Sauvignon,red,1510.0,6.9,10419.0,Old World
Algeria,2010,Cinsaut,red,7550.0,6.9,52095.0,Old World
Algeria,2010,Garnacha Tinta,red,6040.0,6.9,41676.0,Old World
Algeria,2010,Mazuelo,red,7550.0,6.9,52095.0,Old World
Algeria,2010,Merlot,red,1510.0,6.9,10419.0,Old World
Algeria,2010,Pinot Noir,red,1510.0,6.9,10419.0,Old World
Algeria,2010,Syrah,red,1510.0,6.9,10419.0,Old World
Algeria,2016,Cabernet Sauvignon,red,1000.0,8.2,8200.0,Old World
Algeria,2016,Garnacha Tinta,red,2000.0,8.2,16400.0,Old World
Algeria,2016,Mazuelo,red,3000.0,8.2,24600.0,Old World
Algeria,2016,Merlot,red,1000.0,8.2,8200.0,Old World
Algeria,2016,Muscat of Alexandria,white,200.0,8.2,1639.9999999999998,Old World
Algeria,2016,Sultaniye,white,100.0,8.2,819.9999999999999,Old World
Algeria,2016,Syrah,red,1000.0,8.2,8200.0,Old World
Algeria,2022,Cabernet Sauvignon,red,280.0,,,Old World
Algeria,2022,Garnacha Tinta,red,560.0,,,Old World
Algeria,2022,Mazuelo,red,840.0,,,Old World
Algeria,2022,Merlot,red,280.0,,,Old World
Algeria,2022,Muscat of Alexandria,white,56.0,,,Old World
Algeria,2022,Sultaniye,white,28.0,,,Old World
Algeria,2022,Syrah,red,280.0,,,Old World
Argentina,2000,Aglianico,red,81.5644,12.2,995.08568,New World
